line_item,period,value,symbol
Tax Effect Of Unusual Items,2021-03-31 00:00:00,-369169.348587,AJOONI.NS
Tax Rate For Calcs,2021-03-31 00:00:00,0.260166,AJOONI.NS
Normalized EBITDA,2021-03-31 00:00:00,15769556.0,AJOONI.NS
Total Unusual Items,2021-03-31 00:00:00,-1418974.0,AJOONI.NS
Total Unusual Items Excluding Goodwill,2021-03-31 00:00:00,-1418974.0,AJOONI.NS
Net Income From Continuing Operation Net Minority Interest,2021-03-31 00:00:00,3730517.0,AJOONI.NS
Reconciled Depreciation,2021-03-31 00:00:00,4368129.61,AJOONI.NS
Reconciled Cost Of Revenue,2021-03-31 00:00:00,430127174.0,AJOONI.NS
EBITDA,2021-03-31 00:00:00,14350582.0,AJOONI.NS
EBIT,2021-03-31 00:00:00,9982452.0,AJOONI.NS
Net Interest Income,2021-03-31 00:00:00,-5838553.0,AJOONI.NS
Interest Expense,2021-03-31 00:00:00,4940079.0,AJOONI.NS
Interest Income,2021-03-31 00:00:00,2137.0,AJOONI.NS
Normalized Income,2021-03-31 00:00:00,4780321.651413,AJOONI.NS
Net Income From Continuing And Discontinued Operation,2021-03-31 00:00:00,3730517.0,AJOONI.NS
Total Expenses,2021-03-31 00:00:00,498258973.0,AJOONI.NS
Rent Expense Supplemental,2021-03-31 00:00:00,785800.0,AJOONI.NS
Diluted Average Shares,2021-03-31 00:00:00,64348577.0,AJOONI.NS
Basic Average Shares,2021-03-31 00:00:00,64348577.0,AJOONI.NS
Diluted EPS,2021-03-31 00:00:00,0.057531,AJOONI.NS
Basic EPS,2021-03-31 00:00:00,0.057531,AJOONI.NS
Diluted NI Availto Com Stockholders,2021-03-31 00:00:00,3730517.0,AJOONI.NS
Net Income Common Stockholders,2021-03-31 00:00:00,3730517.0,AJOONI.NS
Otherunder Preferred Stock Dividend,2021-03-31 00:00:00,0.0,AJOONI.NS
Net Income,2021-03-31 00:00:00,3730517.0,AJOONI.NS
Net Income Including Noncontrolling Interests,2021-03-31 00:00:00,3730517.0,AJOONI.NS
Net Income Discontinuous Operations,2021-03-31 00:00:00,,AJOONI.NS
Net Income Continuous Operations,2021-03-31 00:00:00,3730517.0,AJOONI.NS
Tax Provision,2021-03-31 00:00:00,1311856.0,AJOONI.NS
Pretax Income,2021-03-31 00:00:00,5042373.0,AJOONI.NS
Other Non Operating Income Expenses,2021-03-31 00:00:00,169972.0,AJOONI.NS
Special Income Charges,2021-03-31 00:00:00,-1418974.0,AJOONI.NS
Other Special Charges,2021-03-31 00:00:00,11000.0,AJOONI.NS
Write Off,2021-03-31 00:00:00,1407974.0,AJOONI.NS
Net Non Operating Interest Income Expense,2021-03-31 00:00:00,-5838553.0,AJOONI.NS
Total Other Finance Cost,2021-03-31 00:00:00,900611.0,AJOONI.NS
